point_id,point_name,f1_O3,f2_C2,f3_O3-C2,f4_H4,f5_H4,f6_H4,f7_H5,f8_H5,f9_H5,f10_H6,f11_H6,f12_H6,f13_H7,f14_H7,f15_H7,f16_H8,f17_H8,f18_H8,f19_H9,f20_H9,f21_H9,wfn_energy,iqa,integration_error,q00,q10,q11c,q11s,q20,q21c,q21s,q22c,q22s,q30,q31c,q31s,q32c,q32s,q33c,q33s,q40,q41c,q41s,q42c,q42s,q43c,q43s,q44c,q44s
1,ETL-SAMPLE-50000000,2.6537453022498805,2.9305903487648584,1.8713467856302843,2.072926219133412,2.776019269823203,-1.9846933929749189,2.0748658591219566,0.7465775781883228,-2.202692107607693,4.2092134265388665,1.1047348369246466,1.9248103323269627,4.135454737937731,1.795812998924137,2.2413848626098396,3.8704341916710656,1.864083355125448,1.3606391145925563,3.6890518793257114,1.3286375982785885,0.459411620841047,-155.031678419127,-38.042810957,0.00019140524051,0.57177589992,-0.0030046836304483404,0.6313193431663806,0.04129122907726873,-0.1556042848319619,-0.10535384515426859,-0.15615777546419346,0.41796993868697263,-0.017608212868501907,-0.8461888614241873,-0.9168011700139304,-1.8270794861930315,-0.03539045035108976,0.4530992374440755,1.0555396267648542,-0.457465213716303,-0.9120958233586564,0.5780901795236412,1.1429303458886373,-0.5005834816515959,2.1586392808688726,0.7443005250695176,-0.4249622896411483,-1.094307740656326,0.013798516479834067
2,ETL-SAMPLE-50000001,2.661729153931567,2.870355307760327,2.0422029239795716,2.15223321649341,0.7506339114432702,-2.027216673341836,2.110625413783279,2.6503847894505568,-2.2498567172410793,3.958460767195857,2.0695805402793015,1.7444711018687127,3.919470374698039,1.6227875520537163,2.570096309312352,4.238043094536516,1.1783835196315608,1.8348584306208016,3.6991303703382017,1.7610043055023117,-0.45119229721256715,-155.045052042251,-38.039314989,-0.00020129726776,0.56028752692,-0.053930970056860594,0.5975802296839974,0.041149839259567826,-0.23930253770238616,0.07389469217403541,-0.1602358636213488,0.5414657636907988,-0.09790662153922537,-0.5507462753178974,-0.8224450196878265,-1.8132480266100752,-0.3250808857616572,0.17127792572760284,1.1352077563208764,-0.147169393390012,-1.3002446354143993,0.7211811758430572,0.5517189151934754,-0.9308028868001899,2.4326944363059133,0.8029481221593925,0.4160406806845059,-0.8172607722309926,-0.3134730866643893
3,ETL-SAMPLE-50000002,2.7014949112727824,2.9766928815672284,1.9446302966829052,2.1242735273673183,0.9294295446995929,-2.112311296390323,2.129714662924003,2.683408255839642,-2.233517992852823,4.1653781015225375,1.547897518568218,2.435451847171295,4.008009533921352,1.0981292293086131,1.6260565241892222,3.923542292864281,2.035986237996048,1.6608552716666987,3.4599521479739175,2.0329720306989345,0.288640586465858,-155.036180680078,-38.037614368,0.0004839310932,0.50969428548,-0.05214274535095656,0.5909197046434403,-0.017305715731869925,-0.4115928916365541,0.08149565579202796,-0.08296333396648224,0.39587349738720495,0.06466416883401169,-0.9549950631487938,-0.7344600621704034,-1.4291459778583495,-0.361935848817824,0.37765209149426077,1.3217687616946479,-0.3205753956144973,-1.2441160755821123,1.1070398464008189,1.253610437546573,-0.6103479984210252,2.3778942127432123,0.8543629218276885,0.06525393030569232,-0.9883530757694924,-0.2399579674810015
4,ETL-SAMPLE-50000003,2.6564303191000285,2.9998161354520865,2.0033913972017556,2.11778453405798,2.544180019817269,-2.1174103878826926,2.1440942053054086,0.5589216067420779,-2.167256955986266,4.243852694481554,2.0255840710907593,1.9135582388931156,4.003978862554313,1.1645600890711014,1.6735821145938172,3.943390657126472,1.4527355042296288,2.5429236158721635,3.7002769922119407,1.0855465308591197,0.010962588813739899,-155.045415864458,-38.038663788,8.4056918959e-06,0.56185749105,0.004750913969421733,0.62114026943939,0.02313856903961247,-0.18408663690833668,-0.024168002066233308,0.01736798501802726,0.5611589214261617,-0.11084834042505631,0.003990738040210124,-1.0133905748486545,-2.0276499346635224,0.10534217994678184,-0.03033842579760111,1.0088519458977563,-0.1783643857564144,-1.2875552806321136,-0.041733920588882346,-0.18776821119866177,-0.7535798471223756,2.6495193002823787,-0.24445220701428835,-0.045439391559284205,-0.8301466010880538,-0.0983022947814798
5,ETL-SAMPLE-50000004,2.6775261316938996,2.8464236103375606,1.8809715326551635,2.0650479627855702,0.6160604051958881,-2.0402124515562274,2.0282195528169815,2.407464677464222,-2.3389587273355605,3.756934361997345,1.1896748153100598,1.485147446642144,4.044470642935653,2.089778838342052,1.772560396309423,4.047352959464436,1.501581757421964,2.4048997945292037,3.6073609441137395,1.1974723791460673,0.34002673470530964,-155.036110676665,-38.036305418,-9.5883030535e-05,0.57993730356,-0.032401049338969035,0.5530628062139492,-0.018696294879392283,-0.33984606619326474,0.10449862966183011,-0.07570268803894793,0.40286315206570217,0.057727056121175256,0.1458754371573648,-0.9573430492384822,-1.7309811463863665,-0.3054211295680143,-0.19246873721722524,1.099649329857229,-0.4881655583967923,-1.4884476048852944,-0.17095742841506528,-0.5935976091184335,-0.6445315840464237,2.529947341498895,-0.12539667448634814,0.541775400011966,-0.785355539087053,-0.02277005124089474
6,ETL-SAMPLE-50000005,2.656465862973718,2.9056399442372567,1.856828323263536,2.083719394186519,2.554827114201137,-2.0200726487814995,2.153332000957842,0.6933242114259046,-2.2456688197979937,3.9701974340600663,1.8792110756679308,1.4602897670797548,3.917813371096596,1.0365720704825028,1.7894164462957027,4.085951366659198,1.6910595224550506,2.323344404068573,3.6039991850013537,2.0042895214763856,-0.2781642586018247,-155.043720741201,-38.040650809,-0.00023603694073,0.56230682441,-0.014035233078264722,0.6275377262709354,-0.007320663852309839,-0.24675212973026353,-0.044966773544982123,0.08954809550112011,0.4061557754422109,0.03086044616087851,-0.16087707939562734,-0.982762708489276,-1.8679123885740663,0.14335024835872406,0.16784128296966663,1.1360292076794531,-0.5005226712023545,-1.5383432117520104,0.06741977936061659,0.6569115149657392,-0.6287874902607775,2.427918417093703,0.2239940009383464,-0.555059890715516,-1.030738138252725,-0.08293487851551494
7,ETL-SAMPLE-50000006,2.7528405918464243,2.9311552846557465,2.019893600763888,2.0350558170946202,2.5997995028023144,-2.037380130132446,2.089350881229573,0.6305570623596156,-1.9260449175121257,4.015244171761631,1.3020661247511192,2.467967465534703,4.100885269731368,2.0715419395892414,2.0920360806692657,4.060721408318242,1.3692802888801676,1.5581351294619155,3.589701079333402,2.0779994094967447,0.024869742375726495,-155.046293369189,-38.043213087,0.00047828640043,0.50221009936,-0.03849587027467305,0.5281289085193394,-0.004182229126057039,-0.14737727238040244,0.0630396660103795,0.0007736599547566058,0.4144829497520084,-0.1324981867755753,-0.2500158432004937,-0.9198765551553736,-2.1350889599110903,-0.16698580363227136,0.04400530091814908,1.1378837834081195,0.04354377368620815,-1.1951665519529777,0.2646563883218421,-0.038175061986698546,-0.9235764401482045,2.0317687040652954,-0.0972876868418647,0.2592961938961006,-0.5568980283969247,-0.32970781236788843
8,ETL-SAMPLE-50000007,2.780671381346087,3.007450190651626,2.020841884383472,2.0059739810394697,0.6239480404148643,-2.1324695418411745,2.0529819314133566,2.7301295039472366,-2.2226735172621597,4.0942648001493165,2.0904422469517803,1.9753658849787747,3.8926763689306205,1.3466497183311088,2.5017514976787147,4.072133672057898,1.2296129695523046,1.6448926889938802,3.656336725210645,1.232565559351254,-0.41937986937613936,-155.032423786931,-38.038343576,1.9909106739e-05,0.48704279575,0.020520887553199724,0.48572945288100833,0.014180161962889895,0.03986520732337007,-0.06055411650448647,-0.19399032029009458,0.603091154243021,-0.11512433290901275,-0.6379439844615771,-1.1404807994670094,-2.0148547471243505,-0.15969615565063808,0.2231192515156187,1.0398160437345703,-0.2427457701774253,-0.9191314640453748,0.5312529876385497,0.5009377051434599,-0.8056084337620032,2.3167439784091752,0.09971491316448451,0.2409126521272318,-0.826727860443359,-0.09935163343430807
9,ETL-SAMPLE-50000008,2.66347615893835,2.936746228736934,1.9726606386244407,2.1548119041889584,0.6708364166427955,-2.4075365054260063,2.101635147630353,2.4537251184181574,-2.0368429139814492,4.150802365025524,1.816846470803165,1.525889965320637,4.002854168455183,1.7874061206028369,2.495085068852352,4.018610226607195,1.0692255832636934,1.9088791629084643,3.8779830485545155,1.9414606249384796,-0.21736123585324066,-155.037640824138,-38.03429474,-4.2723701618e-05,0.56681460814,0.008056759779252104,0.5975017240969674,-0.0033784199872846643,-0.3652763085529777,-0.07196217269135778,0.1625943135676588,0.5430255804434523,-0.0222939150754086,0.1582822172810197,-1.0123114484543048,-1.7865511416865187,0.3844919289194478,0.07429284471873925,1.1014131199687736,-0.3499501762139013,-1.7094230568688673,-0.2715684702821027,0.3058798872975415,-0.3526922348262868,2.425645610751969,-0.11383930635168672,-0.8843369793508219,-0.9429865892267257,-0.11139464592398902
10,ETL-SAMPLE-50000009,2.7327399526925427,2.9553531815947034,2.015218792986462,2.0923906981940132,2.3333799842501803,-2.1306752296719753,2.0597941451284254,0.5210204754840274,-2.1235380484662754,3.9744348773853395,1.4687314304020256,2.5162210256581816,4.214991977065213,1.9897522358808,1.8617277776048176,4.022348443826477,1.1797009913704124,1.6583829446121428,3.747669674466401,1.1333241818926605,-0.1854356859853453,-155.048054697172,-38.038771373,-4.4042882945e-05,0.52493610335,0.04999726847113295,0.5315194204847074,-0.03272410433851225,-0.3130327012074294,-0.03339097981985099,0.05904234808242809,0.4786043005367726,0.0035226064764856085,0.5778055315598866,-0.8331727672775054,-1.8305926345313002,0.15730831118752533,-0.2769345678060244,1.2580754333295119,-0.20983485422392692,-1.2818463276921375,-0.5705969751620485,-0.8070959400159345,-0.8012735663388791,2.1640997391565002,-0.67225907674728,0.08949942398192424,-0.8063246079557495,-0.24536088675829365
