point_id,point_name,f1_C1,f2_H6,f3_C1-H6,f4_O3,f5_O3,f6_O3,f7_H4,f8_H4,f9_H4,f10_H5,f11_H5,f12_H5,f13_H7,f14_H7,f15_H7,f16_H8,f17_H8,f18_H8,f19_H9,f20_H9,f21_H9,wfn_energy,iqa,integration_error,q00,q10,q11c,q11s,q20,q21c,q21s,q22c,q22s,q30,q31c,q31s,q32c,q32s,q33c,q33s,q40,q41c,q41s,q42c,q42s,q43c,q43s,q44c,q44s
1,ETL-SAMPLE-50000000,2.9305903487648584,2.0730768698874074,1.979728388790215,4.498382804675518,2.1655872826154923,-0.07193129741439303,4.020771466590379,1.3990089567616344,-0.4926896715225437,4.220751101375577,1.3402689087068074,0.40896179170752106,1.913638656995951,0.629172188247021,-2.396526100791588,2.1501311770598788,2.4696516849313856,-1.7982245819038691,4.344740119253538,2.5514939080836943,0.21090168012310914,-155.031678419127,-38.132600483,-1.9843857432e-05,0.066111548519,0.14700674950054438,-0.004381620409607684,-0.04912790137403059,-0.06320317067623886,-0.4485225584131334,0.13804642942701978,0.000534426502903421,-0.11292605897848547,-0.03339713313609087,-0.9887080609186336,-2.552630573467957,0.6697186615927668,0.177480398456906,1.8339739711090717,-0.31278842674319224,-0.043958549409289414,-1.1108374553692595,0.6753497354691287,0.04981752356151949,3.4797212604671937,-0.9729744585718948,-0.8665489071234793,-0.8695927292097796,1.3209340120434054
2,ETL-SAMPLE-50000001,2.870355307760327,2.19785564306577,1.7783424634812768,4.718378750739777,1.1124076588292957,0.26896711142983276,4.233678029854181,1.638923411987815,-0.4779363379171467,3.876318829952722,2.019822644340004,0.35310999675041127,2.046925435519566,2.6797619026145494,-2.165466991794752,2.0497241913601614,0.7652956507355125,-2.314830511016207,6.208517019365456,1.3102653986412078,0.27960825354415,-155.045052042251,-38.137267166,-8.5286344721e-05,0.067053874224,-0.04229950626023475,0.1037239466713206,-0.04317378658115053,0.03249370901246958,-0.13715042528234583,-0.042864387609990985,0.06278938501770838,0.22961481116916183,-0.7443654980870638,-1.417342703847593,-2.208108585947823,0.08742627587015697,0.3641158357624629,1.5562154973169142,-1.0715464231697434,-0.08369499809461833,0.8221800934087008,0.7822980642117954,1.0932260473600726,3.5860835061056484,0.40193887892430813,-0.6218454091625298,-0.30901916545431,1.5753375516957986
3,ETL-SAMPLE-50000002,2.9766928815672284,2.0847598256516084,1.9111737455920863,4.693836106663966,1.5968025188279782,-0.564910629542768,4.421507542258944,1.8465717443984544,0.33768279873815266,4.0313775542391,1.0667211706917596,0.20456965488352527,2.1791761172086757,2.608499604851337,-1.9522846218814403,2.0527066787947352,0.5858968002664794,-1.9212390009210543,4.732949287182657,1.2724495035295897,-0.7723842259286575,-155.036180680078,-38.137722858,-0.00022125488219,0.030882908908,0.07146403670538345,0.13385905503569517,-0.0014526046591869582,0.11586933556247248,-0.020665913075441748,-0.0984870909726318,-0.1712255795092215,-0.21676162807932123,-0.15868965856758976,-1.1667190828684204,-2.7454369166880923,-0.012214774605003973,0.07984053700155763,1.789905371091665,-0.2921753069504299,-0.12258155104088686,0.6055517199449458,0.32211139013197276,-0.10466124994993134,3.86406146478947,-0.029855123457146228,0.1913175594874543,-0.6690943850629603,1.6216297819644732
4,ETL-SAMPLE-50000003,2.9998161354520865,2.0561900247136164,1.968989079850017,4.768334383144082,1.0501105122655683,0.10541059793076997,4.179680012838154,1.884193184975058,0.3987496038499942,4.136821600572452,1.7237116965904689,-0.5010085136598278,2.0378305934285352,0.7740893678277498,-1.9145100076912198,2.095804690425165,2.7001661115083153,-1.9843921843559411,5.5432471513662644,0.9445618396699517,-0.2609236480556741,-155.045415864458,-38.135143202,-0.00026538819172,0.056117717962,-0.021851572413159,0.068229055492837,-0.029421927548308663,0.04431571692799251,0.011392561194818449,-0.18121536740015906,-0.20596053662124283,-0.17511780112741374,-0.769969825360346,-0.9714062242451305,-2.49912849269577,-0.3315099881072899,0.31402808109659575,2.0039241867917292,-0.10071461608948168,0.04794980426371259,1.3190439937545941,0.7953370023972715,-0.15823335279965514,3.456791801183175,1.0021008300766956,0.0791580920826473,-1.0838431831297248,0.9691204601891732
5,ETL-SAMPLE-50000004,2.8464236103375606,1.97451012934665,1.7599678061822486,4.4636026345751345,1.9950340568434854,0.4495877665971592,4.147007336020078,1.1290163211548336,0.16963323873727984,3.9840973509273914,1.6163082677450142,-0.5020426519360481,2.1411359533594845,2.46146883658283,-2.0702096131358028,2.140257032013056,0.6907332771527189,-2.067374875777154,4.5325991742384115,1.9097510771912294,0.8731402716386589,-155.036110676665,-38.133299696,-0.00010046198842,0.061038006271,-0.008257627028135029,0.12298436547017727,0.06591997836649252,-0.23232139209250155,-0.04198182662728811,-0.043092323668183066,-0.30594202632069356,0.17147333798229247,0.014684794396992152,-1.1991804246909077,-2.4223480281237726,0.03029984973362556,-0.07842315049515318,1.744267131796702,-0.8709965536013404,-0.9363803741917451,-0.15188622186898534,-0.07204825692501958,0.23057285201829245,4.177941633131008,0.3912656349039492,0.05527264012815076,-0.3922537140089558,1.1519019703302849
6,ETL-SAMPLE-50000005,2.9056399442372567,1.9818522257627695,1.8697468240296389,4.4559173682900886,1.1983055778945806,0.4934864637716014,4.213882059017344,2.0203051419009594,0.13401515617542029,4.202420071786382,1.4371860175321043,-0.48021394068685613,2.059451032563237,0.6138978008878326,-1.967714481878015,2.0208031696510047,2.436626953991445,-2.150518413280692,5.620951522010665,1.4654951358304409,0.5868519268893454,-155.043720741201,-38.130732916,-0.00012516294992,0.11287594692,0.007061065919329751,0.06726621311222174,-0.003914129438452934,-0.10939351189001932,0.17577945247990145,0.04091335301044663,-0.19420327171800555,0.06057700310576932,0.20594743328707893,-1.1827889436225747,-2.4857775203068346,-0.2681120303487825,-0.10895162221984094,1.8315100206841963,-0.5860936430536977,-0.5835695208441575,-0.2113927609449907,-0.2457600806636615,0.13667499171226824,3.6570498903172894,-0.4832662536297367,0.254961699295598,-0.7511590392656009,1.021158655559186
7,ETL-SAMPLE-50000006,2.9311552846557465,2.0640576124944867,1.8444589651424224,4.814162283503167,1.8507802640948396,-0.4693837421119026,4.05971210106127,1.0787588037219622,-0.06518736386304243,4.238612896763918,1.796392108955143,0.41197531858407127,2.0915830896252303,0.5338148972433967,-2.2360181466262388,2.049462086058417,2.4958534551191454,-2.1076007267996197,5.389728449432729,1.5824063275122366,-0.6704726248972467,-155.046293369189,-38.13930341,-6.6539683352e-05,0.057848530305,0.018645592510101262,0.0762293308919896,0.013395104315100471,0.05495190315448001,-0.05651352034801521,0.08731755454515876,-0.06178383367307722,0.0016497227766320928,0.3601870207538298,-1.4734795819345552,-2.6207032920636912,0.3326398639451599,-0.15703477015490577,1.7432194178273626,-0.819193970332847,-0.3445834196594334,-0.04192307759081277,-0.2074919099057563,0.7139443506559303,3.2127732020098727,0.0010271203727090176,-0.08618583034029022,-0.5456638022802042,1.4703436605490565
8,ETL-SAMPLE-50000007,3.007450190651626,2.1104733134009703,1.8308530421281133,4.904342496006752,1.0368650567089466,0.04699683163545778,4.0997176056571645,1.782499830329154,-0.43844115295833486,3.9358910179206177,1.796084283309679,0.4936001200847172,1.9896389937422694,2.5776906040518845,-1.9135117420476753,2.0389713381688046,0.7351016189198188,-1.994290627861336,6.1857091818971774,1.187252509201701,-0.18109216752567647,-155.032423786931,-38.133430446,-6.5200324217e-05,0.070657855085,-0.056395320888110154,0.11086194172096936,-0.08145037431297363,-0.017888224098168454,-0.034082660978859855,-0.002662626052607132,-0.32324028328192156,0.0780254786715231,-0.351713364113206,-1.1395697932310387,-2.6930230641435666,-0.02641232581929659,0.20404244596032656,1.872207100713325,-0.5369802498844534,-0.18584763566771118,0.7467665439082872,0.6019353436503523,0.21682794914286424,3.2921244285677886,0.7012195879340386,-0.26496704190463566,-0.6625676418046281,1.2654564954410594
9,ETL-SAMPLE-50000008,2.936746228736934,2.128160768434635,1.9029248532111755,4.673056847085909,1.3040346031871257,0.4894473460088118,3.9791282675228548,1.362488752587483,-0.522542662400248,4.255278310467826,2.0377026066675077,-0.016891379453802268,2.1791646210738027,2.483492984050664,-1.9160840172827602,2.029720357963835,0.4978588404609162,-2.21191443328147,5.998789062548693,1.5266511798845293,0.5733244497145527,-155.037640824138,-38.137928494,-8.6287036483e-05,0.034445591123,0.10850092699225063,0.12588664025825197,-0.013657486812325332,0.08860068564707635,-0.1419454436977607,0.1519389089982173,-0.07936438795604055,-0.09723522785487967,0.31616254431129964,-1.3041136478606599,-2.677908566760454,0.4035419904516852,-0.05610856439038936,1.759774680429199,-0.4873889192051826,-0.3166269851457497,-0.5310764282915887,0.3005511543973012,0.13808835551784837,3.627080907343228,-1.3413708577125536,-0.3794152470146794,-1.0475952115618332,1.2444255102510569
10,ETL-SAMPLE-50000009,2.9553531815947034,2.0081956970453625,1.8288494089068061,4.811080627138529,1.6779537155356339,-0.5287443123771461,4.232184272688126,1.1626330033472585,0.24628655138341657,4.033070793513862,1.9700017439833826,0.33304302331265506,2.0022311229696443,0.6821176543093982,-2.3093931124586162,2.078039328925598,2.5906080939651455,-2.078623336316909,5.882023036161891,1.9404113040958912,-0.44316470219333026,-155.048054697172,-38.132576107,-0.00023146495665,0.10912344251,0.01725317550550895,0.036101418458689354,0.018358576622707096,-0.03324065362441789,-0.18548584859334077,0.017107240030879396,-0.09587590970976292,0.06038261742405977,-0.31692443847673324,-1.4661650189687876,-2.3801099257101486,0.2729351989766433,0.21449619132142886,1.6638078040789204,-0.8385345880039557,-0.33432170195740213,0.370389791251923,0.5144661892979374,0.848616270365166,3.4477884852312255,0.14357485330574277,-0.3766990735527142,-0.29717629200364987,1.555956186030058
